=== СТАТИСТИКА ДЛЯ ЧАСТОТНОГО АНАЛИЗА ===
Всего символов в алфавите: 1345
Найденный сдвиг: 5

Символ	Наблюдаемая частота (%)	Эталонная частота (%)
  'а'		0,5948			7,9980
  'б'		0,5948			1,5920
  'в'		10,0372			4,5330
  'г'		0,0743			1,6870
  'д'		1,5613			2,9770
  'е'		7,2119			8,4830
  'ж'		1,6357			0,2000
  'з'		2,4535			0,7000
  'и'		1,4870			1,6410
  'й'		2,0818			7,3670
  'к'		6,6914			1,0000
  'л'		0,4461			3,4860
  'м'		1,4870			4,3430
  'н'		10,4833			3,2030
  'о'		2,0818			6,7000
  'п'		3,7918			10,9830
  'р'		3,4201			2,8040
  'с'		2,5279			4,7460
  'т'		8,3271			5,4730
  'у'		10,1115			6,3180
  'ф'		2,8253			2,6150
  'х'		0,0000			0,2000
  'ц'		4,0892			0,9000
  'ч'		5,8736			0,4000
  'ш'		1,7100			1,4500
  'щ'		0,6691			0,6000
  'ъ'		0,8178			0,3000
  'ы'		2,1561			0,3500
  'ь'		1,2639			1,8980
  'э'		0,0000			1,3850
  'ю'		0,2230			0,3000
  'я'		0,0000			0,6000
  ' '		1,1152			2,0010
  '.'		1,6357			17,5000
  ','		0,5204			1,2000
