=== СТАТИСТИКА ДЛЯ ЧАСТОТНОГО АНАЛИЗА ===
Всего символов в алфавите: 498995
Найденный сдвиг: 8

Символ	Наблюдаемая частота (%)	Эталонная частота (%)
  'а'		1,1152			7,9980
  'б'		1,6357			1,5920
  'в'		0,5204			4,5330
  'г'		0,5948			1,6870
  'д'		0,5948			2,9770
  'е'		10,0372			8,4830
  'ж'		0,0743			0,2000
  'з'		1,5613			0,7000
  'и'		7,2119			1,6410
  'й'		1,6357			7,3670
  'к'		2,4535			1,0000
  'л'		1,4870			3,4860
  'м'		2,0818			4,3430
  'н'		6,6914			3,2030
  'о'		0,4461			6,7000
  'п'		1,4870			10,9830
  'р'		10,4833			2,8040
  'с'		2,0818			4,7460
  'т'		3,7918			5,4730
  'у'		3,4201			6,3180
  'ф'		2,5279			2,6150
  'х'		8,3271			0,2000
  'ц'		10,1115			0,9000
  'ч'		2,8253			0,4000
  'ш'		0,0000			1,4500
  'щ'		4,0892			0,6000
  'ъ'		5,8736			0,3000
  'ы'		1,7100			0,3500
  'ь'		0,6691			1,8980
  'э'		0,8178			1,3850
  'ю'		2,1561			0,3000
  'я'		1,2639			0,6000
  ' '		0,0000			2,0010
  '.'		0,2230			17,5000
  ','		0,0000			1,2000
